session_id,neuron_index,cell_specimen_id,importance_rank,mean_importance,std_importance,selection_frequency,selected_any_fold,stable_selected,coefficient_orientation_0,coefficient_orientation_45,coefficient_orientation_90,coefficient_orientation_135,coefficient_orientation_180,coefficient_orientation_225,coefficient_orientation_270,coefficient_orientation_315
505695962,4,517510005,39,0.01910716769935371,0.013276101618541416,1.0,True,True,0.0,-0.1528573415948297,0.0,0.0,0.0,0.0,0.0,0.0
505695962,145,517510853,40,0.01889613794674589,0.010916324534401653,0.8,True,True,0.0,0.0,0.0,0.009866471904858109,0.0,0.0,0.0,0.141302631669109
505695962,164,517511168,41,0.01887827262930028,0.0032773112905913654,1.0,True,True,0.15102618103440224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505695962,62,517510717,42,0.018479768247132412,0.0065935624671782985,1.0,True,True,0.1478381459770593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505695962,82,517509881,43,0.017141725989256583,0.007577143808430223,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13713380791405266
505695962,117,517511013,44,0.01711307496077782,0.002096507176581267,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.12260627981020338,0.014298319876019186,0.0
505695962,0,517512523,45,0.016871250358138086,0.004373448093241871,1.0,True,True,0.0,0.0,0.0,0.0,0.1349700028651047,0.0,0.0,0.0
505695962,33,517512290,46,0.016849064138506908,0.01116568532942271,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.08052194356524958,0.054270569542805666
505695962,70,589163024,47,0.016433242253868947,0.007477074545335323,1.0,True,True,0.0,0.0,0.049555251521529176,0.0,0.0,0.0,0.08191068650942239,0.0
505695962,183,517511101,48,0.01616534352318731,0.00504190326727703,1.0,True,True,0.11917998705405428,0.0,0.0,0.0,0.0,0.010142761131444215,0.0,0.0
505695962,128,517513952,49,0.015984866516779862,0.01806490822335567,0.6,True,True,0.09163209953896016,0.03624683259527872,0.0,0.0,0.0,0.0,0.0,0.0
505695962,135,517513741,50,0.015905356778139267,0.00788314789106213,1.0,True,True,0.0,0.12724285422511414,0.0,0.0,0.0,0.0,0.0,0.0
505695962,181,517512004,51,0.015746399304218558,0.009530166985491766,0.8,True,True,0.0,0.0,0.0,0.10849180035511627,0.0,0.0,-0.017479394078632186,0.0
505695962,75,517513178,52,0.01553180274608063,0.00964955592363503,0.8,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12425442196864504
505695962,211,517510825,53,0.014972719335785431,0.01739107018319767,0.8,True,True,-0.018264645926044102,0.0,0.0,0.0051743663990439035,0.03023350424063932,0.0,0.0,-0.06610923812055614
505695962,29,517513233,54,0.014751892183337981,0.004031878619555143,1.0,True,True,0.1060306809951608,0.01198445647154305,0.0,0.0,0.0,0.0,0.0,0.0
505695962,193,517511153,55,0.01452107833472816,0.0033969197539820595,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.11616862667782528,0.0,0.0
505695962,2,517509974,56,0.01416430355531976,0.005039636273145419,1.0,True,True,0.0,0.0,0.0,0.0,0.0,0.11331442844255808,0.0,0.0
505695962,131,517514012,57,0.014150555023903222,0.007411215365712357,0.8,True,True,0.11320444019122577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505695962,200,517513249,58,0.014125178703505974,0.007312202224138578,1.0,True,True,0.0,0.0,0.0,0.1130014296280478,0.0,0.0,0.0,0.0
505695962,215,517510427,59,0.013454602617304783,0.008071248493656879,0.8,True,True,0.0,0.0,0.0,0.052116344703449204,0.0,0.0,0.0,-0.055520476234989055
505695962,184,517514474,60,0.013265692144956015,0.007663968792878618,0.8,True,True,0.0,0.0,0.10612553715964812,0.0,0.0,0.0,0.0,0.0
505695962,156,517513888,61,0.013210074129985169,0.004972003636109975,1.0,True,True,0.0,0.0,0.0,0.0,0.09057927225018428,0.0,0.0,-0.015101320789697087
505695962,121,589166902,62,0.013171846553180665,0.008136583584700248,0.8,True,True,0.0,0.0,0.0,0.10537477242544532,0.0,0.0,0.0,0.0
505695962,57,517510468,63,0.012731193920665143,0.004929064108996064,1.0,True,True,0.0,0.0713387646718859,0.03051078669343526,0.0,0.0,0.0,0.0,0.0
505695962,132,517511365,64,0.012695060669211824,0.007020999732196786,0.8,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015604853536946
505695962,180,589172013,65,0.01236977575168498,0.002765064779396528,1.0,True,True,0.012388423088170205,0.08656978292530962,0.0,0.0,0.0,0.0,0.0,0.0
505695962,7,517510418,66,0.012272902806790472,0.006749320377356446,0.8,True,True,0.0,0.0,0.09818322245432377,0.0,0.0,0.0,0.0,0.0
