session_id,cell_specimen_id,mean_importance,selection_frequency,coefficient_orientation_0,coefficient_orientation_45,coefficient_orientation_90,coefficient_orientation_135,coefficient_orientation_180,coefficient_orientation_225,coefficient_orientation_270,coefficient_orientation_315
551888519,566958280,0.004647638897135949,0.8,0.0,0.0,0.0,0.03715861313448255,0.0,-2.2498042605043917e-05,0.0,0.0
551888519,566957913,0.004418157716240828,0.8,0.0,0.0,0.014621921027999429,0.02005968455384612,-0.0006636561480810767,0.0,0.0,0.0
551888519,566958670,0.004269645048961626,0.8,0.03415716039169301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551888519,566957625,0.004038665031168969,0.6,0.0,0.0,0.0,0.0,0.0,0.03230932024935175,0.0,0.0
551888519,566957366,0.003974583575285462,0.4,0.0,0.031796668602283695,0.0,0.0,0.0,0.0,0.0,0.0
551888519,566958892,0.00392438673527392,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03139509388219136
551888519,588881162,0.0038428563267629,0.6,0.011206098405728867,0.0,0.0,-0.005336714184323385,0.0,0.0,0.014200038024050949,0.0
551888519,566957492,0.0038290067758836007,0.8,0.0,0.0,0.014464454366668822,0.0,0.016167599840399983,0.0,0.0,0.0
551888519,566958693,0.0036719388005097345,0.4,0.0,0.0,0.0,0.029375510404077876,0.0,0.0,0.0,0.0
551888519,566958882,0.003628918744003548,0.6,0.0,-0.006469571116114917,0.0,0.0,0.0,0.022561778835913468,0.0,0.0
551888519,588881090,0.0035873859490345413,0.6,0.004544083593313078,0.0,-0.003667863417951861,0.0,0.0,0.02048714058101139,0.0,0.0
551888519,566957004,0.003459020455638062,0.6,0.0,0.0,0.004965418102461934,0.0,0.0,0.014851599876482205,0.0,-0.00785514566616036
551888519,566958033,0.00345542286124013,0.6,0.0,0.0,0.02764338288992104,0.0,0.0,0.0,0.0,0.0
551888519,566958471,0.0033095135041553065,0.4,0.0,0.0,0.026476108033242452,0.0,0.0,0.0,0.0,0.0
551888519,566958690,0.003307963428422792,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.026463707427382337,0.0
551888519,566956698,0.0031262788394535016,0.4,0.0,0.0,0.0,0.0,-0.017018097187786504,0.0,0.007992133527841509,0.0
551888519,566958006,0.0030078126925594984,0.2,0.0,-0.0027090699066626344,0.0,0.0,0.005384758478792547,-0.015968673155020804,0.0,0.0
