session_id,experiment_container_id,targeted_structure,cre_line,imaging_depth,session_type,model,n_neurons,n_trials,n_classes,chance_level,mean_cv_accuracy,fold_accuracies,interpretation
605800963,603519606,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,42,598,8,0.125,0.24572829131652663,"0.2750,0.2333,0.2833,0.2185,0.2185",above chance
605800963,603519606,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,42,598,8,0.125,0.2508403361344538,"0.2333,0.2417,0.2750,0.2689,0.2353",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,170,598,8,0.125,0.4147198879551821,"0.3917,0.3750,0.4750,0.4370,0.3950",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,svm,170,598,8,0.125,0.37126050420168066,"0.4000,0.3333,0.3667,0.3782,0.3782",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,random_forest,170,598,8,0.125,0.4632633053221289,"0.4750,0.3667,0.5167,0.4622,0.4958",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,knn,170,598,8,0.125,0.26586834733893555,"0.2750,0.2000,0.3333,0.2689,0.2521",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,lda,170,598,8,0.125,0.3864285714285714,"0.3750,0.3667,0.3333,0.4454,0.4118",clearly above chance
551888519,551888517,VISpm,Rorb-IRES2-Cre,275,three_session_A,mlp,170,598,8,0.125,0.4398459383753502,"0.4500,0.4000,0.4417,0.4202,0.4874",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,87,598,8,0.125,0.5352801120448178,"0.5250,0.4583,0.5250,0.5966,0.5714",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,svm,87,598,8,0.125,0.5067787114845939,"0.5250,0.4333,0.5083,0.5378,0.5294",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,random_forest,87,598,8,0.125,0.5802521008403361,"0.6750,0.5083,0.5667,0.5714,0.5798",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,knn,87,598,8,0.125,0.327703081232493,"0.3167,0.3750,0.3250,0.2773,0.3445",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,lda,87,598,8,0.125,0.526890756302521,"0.5083,0.4917,0.5000,0.5462,0.5882",clearly above chance
510390912,511500480,VISal,Rorb-IRES2-Cre,275,three_session_A,mlp,87,598,8,0.125,0.5252240896358543,"0.5417,0.4333,0.5167,0.5462,0.5882",clearly above chance
